10;Ariel;Arial the little mermaid;ariel_little_mermaid.jpg
20;Diego;Ice Age;diego.jpg
30;Donald;Mickey mouse;donald_duck.jpg
40;Eyoree;Winnie the Pooh;eyoree.png
50;Goofy;Mickey mouse;goofy.jpg
60;Jane;Tarzan;jane.png
70;Manny;Ice Age;manny.jpg
80;Mickey;Mickey mouse;mickey_mouse.jpg
90;Minnie;Mickey mouse;minnie_mouse.jpg
100;Mulan;Mulan;mulan.jpg
110;Nemo;Nemo;nemo.jpg
120;Pluto;Mickey mouse;pluto.jpg
130;Pocahontas;Pocahontas;pocahontas.jpg
140;Shrek;Shrek;shrek.jpg
150;Snow white;Snow white;snow_white.png
160;Tangled;Tangled;tangled.jpg
170;Tarzan;Tarzan;tarzan.jpg
180;Tiger;Winnie the Pooh;tiger.png
190;Winnie the Pooh;Winnie the Pooh;winnie_the_pooh.png
